קטגוריה,עדיפות,פריט,תיאור
חובה להביא מהארץ,1 - קריטי,דרכון וכל הכייס (כולל דרכון פיזי),"חובה להחזיק עליך תמיד! לביקורת דרכונים, פטור ממס (Tax-Free), זיהוי בקרטינג, וקבלת מזוודות."
חובה להביא מהארץ,1 - קריטי,"רישיון נהיגה מפלסטיק + בינלאומי (ממס""י)","חובה מוחלטת לקרטינג בטוקיו (Street Kart)! בלעדיו לא יתנו לך לעלות על המסלול."
חובה להביא מהארץ,1 - קריטי,ארנק עם כרטיסי אשראי (ויזה/אמקס) וינים במזומן,"תשלומים שוטפים. ויזה נפוץ, אמקס לגיבוי. מזומן חובה למקומות ללא אשראי (מקדשים, לוקרים, אונסן)."
חובה להביא מהארץ,1 - קריטי,פלאפון + סוללה ניידת (Power Bank),"חובה עליך תמיד לניווט, הצגת כרטיסים, צילום, ותשלומים (ללא סוללות בשילוח מזוודות!)."
חובה להביא מהארץ,1 - קריטי,ביטוח נסיעות מודפס וצילומי מסמכים,עותק פיזי של ביטוח הנסיעות וצילומי הדרכון לגיבוי למקרה אובדן.
חובה להביא מהארץ,1 - קריטי,קוד QR של Visit Japan Web,שמור כצילום מסך מראש לזירוז המכס וההגירה.
חובה להביא מהארץ,1 - קריטי,3 מכשירי מעקב (SmartTags/AirTags),"אחד לתיק גב, אחד לדרכון/כסף, ואחד חובה למזוודה הגדולה שנשלחת בשירות Ta-Q-Bin."
חובה להביא מהארץ,1 - קריטי,כרטיסים דיגיטליים/מודפסים לאטרקציות,"teamLab (כל ה-4), תצפיות (Shibuya, RED, Roppongi, Abeno), טירת Nijo, סמוראים, שייט, IMAX, SIDAS ואונסן."
חובה להביא מהארץ,1 - קריטי,קוד וכרטיס להופעה של LiSA,להדפסת הכרטיס הפיזי בחנות הנוחות באוסקה והצגתו בכניסה למופע.
חובה להביא מהארץ,1 - קריטי,אפליקציית SmartEX / כרטיסי נסיעה,"חובה לשינקנסן (QR), אוטובוס לילה WILLER, ורכבת Skyliner לשדה התעופה."
חובה להביא מהארץ,1 - קריטי,מטען קיר מרובה יציאות + כבלי טעינה טייפ סי,"לטעינת הפלאפונים, הסוללות הניידות והשעון בלילה בו-זמנית."
חובה להביא מהארץ,1 - קריטי,מטען אוניברסלי / מתאם לשקע יפני,"ביפן השקעים הם Type A (שני פינים שטוחים, 100V). חובה מתאם."
חובה להביא מהארץ,1 - קריטי,תרופות קבועות ומשככי כאבים,ביפן מינוני התרופות נמוכים וקשה לפענח רכיבים. חובה להביא מלאי אישי.
חובה להביא מהארץ,1 - קריטי,דאודורנט אנטי-פרספירנט,הדאודורנטים ביפן חלשים מאוד ונועדו רק למניעת ריח ולא זיעה.
חובה להביא מהארץ,1 - קריטי,פיתות / לחם עמיד,ביפן קשה מאוד למצוא לחם כשר. חובה להביא כבסיס לארוחות וכריכים.
חובה להביא מהארץ,1 - קריטי,חטיפי חלבון / אבקת חלבון,"להשלמת תזונה קלה ומהירה, נשנוש זמין ומשביע לימי הליכה ורכבות."
חובה להביא מהארץ,1 - קריטי,חגורת שבת + מפתח מכני של הדירה,ביפן אין עירוב! אין לטלטל כלום מחוץ לדירה מלבד החגורה והמפתח.
חובה להביא מהארץ,1 - קריטי,בגדים לשבת + מחזור / סידור / חומש,"ללבוש לפני היציאה לתפילה, סעודה בחב""ד ולימוד ביום המנוחה."
חובה להביא מהארץ,2 - חשוב מאוד,מכנסיים שניתן לקפל מעל הברך,חובה ל-teamLab Planets (הולכים בתוך מים עד הברכיים).
חובה להביא מהארץ,2 - חשוב מאוד,נעלי ספורט סגורות לחלוטין ובגדים נוחים,חובה בטיחותית לפארק החבלים (Forest Adventure) ופעילויות אקסטרים (VS PARK).
חובה להביא מהארץ,2 - חשוב מאוד,נעליים נוחות להליכה רבה,"לימים עם הליכה מאסיבית במיוחד (יויוגי, הרג'וקו, שיבויה)."
חובה להביא מהארץ,2 - חשוב מאוד,מזוודה גדולה + תיק גב (Daypack),"המזוודה תשלח שילוח מקדים (Ta-Q-Bin), ותיק הגב ישמש לציוד ליומיים-שלושה."
מומלץ להביא מהארץ,2 - חשוב מאוד,פלאפון נוסף S20 FE,"לגיבוי במקרה חירום, שימוש בסים מקומי או כנגן מדיה ייעודי."
מומלץ להביא מהארץ,2 - חשוב מאוד,שעון חכם + מטען לשעון,"למעקב אחרי הליכות מרובות, קריאת התראות וניווט."
מומלץ להביא מהארץ,2 - חשוב מאוד,אוזניות (חוטי + מתאם + TWS),"לטיסות, נסיעות ארוכות בשינקנסן/אוטובוס לילה."
מומלץ להביא מהארץ,2 - חשוב מאוד,"ערכת נסיעת לילה (כרית צוואר, כיסוי עיניים, אטמי אוזניים)",חובה לאוטובוס הלילה ולטיסות לשינה רצופה.
מומלץ להביא מהארץ,2 - חשוב מאוד,בגדים להחלפה / כלי רחצה בתיק גב,לשימוש ישיר במרחצאות Heiwajima בלילה לאחר הנחיתה.
מומלץ להביא מהארץ,2 - חשוב מאוד,מגבת ידיים קטנה / לחות,ברוב השירותים הציבוריים ביפן אין מגבות נייר או מייבשי ידיים.
מומלץ להביא מהארץ,2 - חשוב מאוד,שקיות אטומות (Ziploc),"מעולה לאריזת אוכל, שמירת קבלות Tax-Free או אריזת פריטים קטנים."
מומלץ להביא מהארץ,2 - חשוב מאוד,כיסוי מים לפלאפון,"למוזיאון teamLab Planets, הולכים במים עד הברכיים ורוצים לצלם בבטחה."
מומלץ להביא מהארץ,2 - חשוב מאוד,מסרק צפוף / כלי טיפוח,לטיפוח אישי ועיצוב.
מומלץ להביא מהארץ,2 - חשוב מאוד,מדבקות/פלסטרים לכיסוי קעקועים,"למקרה שיש קעקוע קטן, על מנת לכסות באונסן הציבורי."
מומלץ להביא מהארץ,2 - חשוב מאוד,משקפי שמש,חשוב לנהיגה בקרטינג באוויר הפתוח בבוקר ולימים שמשיים.
מומלץ להביא מהארץ,2 - חשוב מאוד,"טונה, סרדינים, חמאת בוטנים","מקור חלבון ופתרון מעולה, מזין וקל למריחה על פיתות."
מומלץ להביא מהארץ,2 - חשוב מאוד,קרקרים / במבה / אגוזים,נשנושים מוכרים למהלך היום ולשבתות.
מומלץ להביא מהארץ,2 - חשוב מאוד,"תבלינים (פפריקה/כמון/מלח/פלפל), צ'ילי, שמן זית",חובה לבישולים בדירה. קשה לפענח רכיבים בסופר יפני.
מומלץ להביא מהארץ,3 - רגיל,שקע חכם,לשליטה על מכשירים. ודא מראש שהוא תומך ב-100V.
מומלץ להביא מהארץ,3 - רגיל,תיק מים / שלוקר,"מעולה לימים ארוכים בפארקים (יויוגי, פוג'י, האקונה)."
מומלץ להביא מהארץ,3 - רגיל,פסטה / אטריות + קטניות,"אוכל יבש לדירות מצוידות מטבח, חוסך זמן חיפוש כשרות."
מומלץ להביא מהארץ,3 - רגיל,תיק גב פנוי / שקית מתקפלת,לאחסון רכישות באקיהברה וקניות אחרונות.
חובה לקנות ביפן,1 - קריטי,כרטיס נסיעות Welcome Suica / IC,לקנות בשדה התעופה לכל נסיעות התחבורה הציבורית והרכישות הקטנות.
חובה לקנות ביפן,1 - קריטי,שקיות אשפה קטנות,אין פחים ברחובות ביפן! חובה לשאת שקית זבל אישית לאורך היום ולאגור אשפה.
חובה לקנות ביפן,1 - קריטי,סלמון / דגים כשרים טריים,לפני שבת. לחפש תווית 'Sashimi Grade' לאכילה בטוחה (למשל ב-Fresco).
חובה לקנות ביפן,1 - קריטי,אורז טרי / אורז ואקום,אורז ואקום לחימום במיקרו אפשר למצוא בכל חנות נוחות או סופר מרכזי.
חובה לקנות ביפן,1 - קריטי,מים מינרליים,זמין במכונות השתייה (Vending machines) הפזורות בכל פינה.
חובה לקנות ביפן,1 - קריטי,פתקית איסוף של שילוח מזוודות (Ta-Q-Bin / Yamato),חובה לשמור בארנק לאחר השילוח! ללא הפתקית לא תקבל את המזוודה.
מומלץ לקנות ביפן,2 - חשוב מאוד,מטרייה שקופה,אם יש גשם - מטרייה שקופה מחנות נוחות עולה מעט ועושה עבודה מעולה.
מומלץ לקנות ביפן,2 - חשוב מאוד,קרם הגנה יפני (Biore UV וכו'),"קרם ההגנה היפני נחשב לטוב, זול ולא דביק. שווה קנייה מיידית."
מומלץ לקנות ביפן,2 - חשוב מאוד,ביגוד תרמי / מנדף מיוניקלו,מומלץ להשלים חוסרים בתחילת הטיול (Heattech לקור או Airism לחום).
מומלץ לקנות ביפן,2 - חשוב מאוד,ביצים קשות,"זמין ומוכן לאכילה בכל חנויות הנוחות (Lawson, FamilyMart)."
מומלץ לקנות ביפן,2 - חשוב מאוד,שיבולת שועל (Oats),לקנות בסופרים הגדולים (LIFE או Harves) לדייסות בוקר.
מומלץ לקנות ביפן,2 - חשוב מאוד,פירות טריים,להשלים מלאי על בסיס יומי בסופרים המקומיים ליד הדירות.
מומלץ לקנות ביפן,2 - חשוב מאוד,מטבעות 100 ין,"מומלץ לשמור ולפרוט למכונות הגשפון ולמתחמי הארקייד (GiGO, Namco)."
חובה להביא מהארץ,2 - חשוב,סטאנד מגנט לאוטו עם הוואקום,לשימוש ברכבים שכורים/ניווט במידת הצורך.
חובה להביא מהארץ,3 - רשות,מוט סלפי,לצילומים באתרים.
חובה להביא מהארץ,1 - קריטי,סיכת סים,להחלפת סים במידה ויש צורך (אם לא מסתמכים רק על eSIM).
חובה להביא מהארץ,2 - חשוב,אוזניות חוטיות עם מתאם,לגיבוי למקרה שהאוזניות האלחוטיות נפרקות.
מסמכים חשובים,1 - קריטי,פאוץ' צמוד לגוף למסמכים,לאחסון דרכון וכרטיסי טיסה מודפסים בצורה בטוחה.
ציוד אישי,2 - חשוב,מנעולים לתיקים,אבטחת ציוד בנסיעות ארוכות ובקפסולות.
הכנות לפני הטיסה,1 - קריטי,צ'ק-אין לטיסה (24 שעות לפני),חובה לבצע צ'ק-אין אונליין ברגע שנפתח (כ-24 שעות לפני ההמראה) או לפני אם ניתן.
הכנות לפני הטיסה,1 - קריטי,הדפסת כרטיסי טיסה,להגיע לשדה עם כרטיסי טיסה מודפסים פיזית לגיבוי ולתצוגה קלה במסמכים.
הכנות לפני הטיסה,1 - קריטי,כרטיסי אשראי תעשייה אווירית,וידוא נשיאת כרטיסי האשראי של התעשייה האווירית (לקחת את שניהם איתך).
ציוד אישי,2 - חשוב,רמקול טעון,"רמקול נייד למוזיקה בדירות, לוודא שהוא טעון."
ביגוד,2 - חשוב,ביגוד רגיל וביגוד חם/סוודר,"להביא בגדים ליום-יום, בתוספת סוודר/ביגוד חם. מומלץ לארוז מעט ולכבס בדירות."
ביגוד,2 - חשוב,"כובע, כפכפים / קרוקס","כובע לשמש, וכפכפים/קרוקס נוחים לדירות ולגיחות קצרות."
ביגוד,2 - חשוב,בגדים יפים לשבת וכיפה,"ביגוד מכבד לסעודות שבת ולבית חב""ד, וכיפה."
ביגוד,1 - קריטי,נעליים נוחות להליכה מרובה,נעליים איכותיות חובה - הולכים קילומטרים רבים כל יום ביפן!
ביגוד,2 - חשוב,חגורה,"חגורה איכותית, תשמש גם להכנת ""חגורת שבת"" עם המפתח."
ציוד אישי,2 - חשוב,ואזלין,למניעת יובש בשפתיים/עור בעונות קרות.
ציוד אישי,2 - חשוב,אטמי אוזניים לשינה,"לשנת לילה רצופה ושקטה בטיסות, נסיעות באוטובוס לילה ובמלונות רועשים."
הלכה ודת,1 - קריטי,תפילין וטלית,"לתפילות בבוקר ובבתי חב""ד."
הלכה ודת,1 - קריטי,גליל נייר דבק אטום רחב,מסקינטייפ אטום (לא שקוף) לנטרול חיישני תאורה במסדרונות הדירה בשבת.
ציוד מטבח ובישול,1 - קריטי,סירים תואמי אינדוקציה (תחתית מגנטית),"אם מביאים סירים מהארץ, חובה תחתית מגנטית. סירים רגילים לא עובדים בדירות יפניות!"