קטגוריה,עברית,אנגלית,יפנית,הגייה בעברית (עם ניקוד),רומאג'י (הגייה באנגלית),הקשר / סיטואציה
נימוס,שלום,Hello,こんにちは,קוֹנִיצִ'יוַוה,Konnichiwa,ברכה כללית ביום
נימוס,בוקר טוב,Good morning,おはようございます,אוֹהָאיוֹ גּוֹזַיְמָס,Ohayou gozaimasu,ברכה מנומסת בבוקר
נימוס,ערב טוב,Good evening,こんばんは,קוֹמְבַּנְוַוה,Konbanwa,ברכה בערב
נימוס,תודה רבה,Thank you very much,ありがとうございます,אָרִיגָטוֹ גּוֹזַיְמָס,Arigatou gozaimasu,ניסוח מנומס ובטוח
נימוס,בבקשה / אם אפשר,Please,お願いします,אוֹנֶגַאי שִׁימָס,Onegai shimasu,בעת בקשה
נימוס,סליחה / אפשר לשאול,Excuse me,すみません,סוּמִימָסֶן,Sumimasen,פנייה לאדם או התנצלות קלה
נימוס,אני מצטער,I am sorry,ごめんなさい,גּוֹמֶן נָסַאי,Gomen nasai,התנצלות
נימוס,כן,Yes,はい,הַאי,Hai,תשובה חיובית
נימוס,לא,No,いいえ,אִיאֶה,Iie,תשובה שלילית
נימוס,אני מבין,I understand,わかりました,וָואקָרִימָשִׁיטָה,Wakarimashita,אישור הבנה
נימוס,אני לא מבין,I don't understand,わかりません,וָואקָרִימָסֶן,Wakarimasen,בקשת הבהרה
נימוס,אפשר לדבר לאט יותר?,Could you speak more slowly?,もう少しゆっくり話していただけますか,מוֹ סוּקוֹשִׁי יוּקּוּרִי הָנָאשִׁיטֶה אִיטָאדָאקֶמָס קָה?,Mou sukoshi yukkuri hanashite itadakemasu ka,בקשה מנומסת
נימוס,אפשר לומר שוב?,Could you say that again?,もう一度お願いします,מוֹ אִיצִ'ידוֹ אוֹנֶגַאי שִׁימָס,Mou ichido onegai shimasu,חזרה על משפט
נימוס,האם אתה מדבר אנגלית?,Do you speak English?,英語を話せますか,אֵיגוֹ אוֹ הָנָסֶמָס קָה?,Eigo o hanasemasu ka,סיוע בשיחה
נימוס,אני משתמש בתרגום,I am using a translator,翻訳を使います,הוֹנְיָאקוּ אוֹ צּוּקָאִימָס,Honyaku o tsukaimasu,הבהרת תקשורת
כיוונים,איפה זה?,Where is this?,これはどこですか,קוֹרֶה וַוא דּוֹקוֹ דֶּס קָה?,Kore wa doko desu ka,בירור מיקום
כיוונים,איפה התחנה?,Where is the station?,駅はどこですか,אֶקִי וַוא דּוֹקוֹ דֶּס קָה?,Eki wa doko desu ka,תחבורה
כיוונים,איך מגיעים לכאן?,How do I get here?,ここへはどう行けばいいですか,קוֹקוֹ אֶה וַוא דּוֹ אִיקֶבָּה אִיאי דֶּס קָה?,Koko e wa dou ikeba ii desu ka,הצגת כתובת או מפה
כיוונים,ימינה,Right,右,מִיגִי,Migi,כיוון
כיוונים,שמאלה,Left,左,הִידָארִי,Hidari,כיוון
כיוונים,ישר,Straight ahead,まっすぐ,מַאסּוּגוּ,Massugu,כיוון
כיוונים,קרוב,Near,近い,צִ'יקַאי,Chikai,מרחק
כיוונים,רחוק,Far,遠い,טוֹאִי,Tooi,מרחק
כיוונים,כניסה,Entrance,入口,אִירִיגוּצִ'י,Iriguchi,שילוט
כיוונים,יציאה,Exit,出口,דֶּגוּצִ'י,Deguchi,שילוט
כיוונים,שירותים,Restroom / Toilet,トイレ,טוֹאִירֶה,Toire,מתקנים
תחבורה,כרטיס אחד בבקשה,One ticket please,切符を一枚お願いします,קִיפּוּ אוֹ אִיצִ'ימַאי אוֹנֶגַאי שִׁימָס,Kippu o ichimai onegai shimasu,רכבת או אוטובוס
תחבורה,לאיזו רציף?,Which platform?,何番線ですか,נַאנְבַּאנְסֶן דֶּס קָה?,Nanbansen desu ka,רכבת
תחבורה,האם הרכבת הזו נוסעת ל...?,Does this train go to...?,この電車は…に行きますか,קוֹנוֹ דֶּנְשָׁה וַוא ... נִי אִיקִימָס קָה?,Kono densha wa ... ni ikimasu ka,בדיקת כיוון
תחבורה,איפה מחליפים רכבת?,Where do I transfer?,どこで乗り換えますか,דּוֹקוֹ דֶּה נוֹרִיקָאֶמָס קָה?,Doko de norikaemasu ka,קונקשן
תחבורה,מתי הרכבת הבאה?,When is the next train?,次の電車は何時ですか,צּוּגִי נוֹ דֶּנְשָׁה וַוא נַאנְגִ'י דֶּס קָה?,Tsugi no densha wa nanji desu ka,לוחות זמנים
תחבורה,האם אפשר להשתמש בכרטיס IC?,Can I use an IC card?,ICカードは使えますか,אַיְ-סִי קָאדוֹ וַוא צּוּקָאֶמָס קָה?,IC kaado wa tsukaemasu ka,Suica/PASMO
תחבורה,אני רוצה לטעון את הכרטיס,I want to charge my card,チャージしたいです,צָ'אגִ'י שִׁיטַאי דֶּס,Chaaji shitai desu,טעינת IC
תחבורה,הרכבת בוטלה?,Is the train canceled?,電車は運休ですか,דֶּנְשָׁה וַוא אוּנְקְיוּ דֶּס קָה?,Densha wa unkyuu desu ka,שיבוש
תחבורה,הרכבת מאחרת?,Is the train delayed?,電車は遅れていますか,דֶּנְשָׁה וַוא אוֹקוּרֶטֶה אִימָס קָה?,Densha wa okurete imasu ka,שיבוש
תחבורה,איפה תחנת האוטובוס?,Where is the bus stop?,バス停はどこですか,בַּאסוּטֵיי וַוא דּוֹקוֹ דֶּס קָה?,Basutei wa doko desu ka,אוטובוס
תחבורה,בבקשה קח אותי לכתובת הזו,Please take me to this address,この住所までお願いします,קוֹנוֹ ג'וּשׁוֹ מָאדֶה אוֹנֶגַאי שִׁימָס,Kono juusho made onegai shimasu,מונית
תחבורה,כמה זמן זה ייקח?,How long will it take?,どのくらいかかりますか,דּוֹנוֹ קוּרַאי קָקָארִימָס קָה?,Dono kurai kakarimasu ka,זמן נסיעה
תחבורה,כמה זה עולה?,How much does it cost?,いくらかかりますか,אִיקוּרָה קָקָארִימָס קָה?,Ikura kakarimasu ka,עלות נסיעה
תחבורה,יש לי הזמנה,I have a reservation,予約があります,יוֹיָאקוּ גָּה אָרִימָס,Yoyaku ga arimasu,רכבת/שאטל
לינה,יש לי הזמנה על שם...,I have a reservation under the name...,…の名前で予約しています,... נוֹ נָמָאֶה דֶּה יוֹיָאקוּ שִׁיטֶאִימָס,... no namae de yoyaku shiteimasu,צ׳ק-אין
לינה,אני רוצה לעשות צ׳ק-אין,I would like to check in,チェックインをお願いします,צֶ'קּוּ-אִין אוֹ אוֹנֶגַאי שִׁימָס,Chekkuin o onegai shimasu,קבלה
לינה,אני רוצה לעשות צ׳ק-אאוט,I would like to check out,チェックアウトをお願いします,צֶ'קּוּ-אָאוּטוֹ אוֹ אוֹנֶגַאי שִׁימָס,Chekkuauto o onegai shimasu,קבלה
לינה,אפשר להשאיר מזוודות?,Can I leave my luggage here?,荷物を預けられますか,נִימוֹצּוּ אוֹ אָזוּקֶרָארֶמָס קָה?,Nimotsu o azukeraremasu ka,לפני/אחרי לינה
לינה,המזוודה שלי נשלחה לכאן,My luggage was sent here,荷物をこちらに送りました,נִימוֹצּוּ אוֹ קוֹצ'ִירָה נִי אוֹקוּרִימָשִׁיטָה,Nimotsu o kochira ni okurimashita,משלוח מזוודות
לינה,מה סיסמת ה-Wi-Fi?,What is the Wi-Fi password?,Wi-Fiのパスワードは何ですか,וַאי-פַיי נוֹ פָּאסוּוָאדוֹ וַוא נַאן דֶּס קָה?,Waifai no pasuwaado wa nan desu ka,מלון
לינה,החדר לא נקי,The room is not clean,部屋が清掃されていません,הֶיָה גָּה סֵיסוֹ סָרֶטֶאִימָסֶן,Heya ga seisou sareteimasen,בעיה בחדר
לינה,אין מים חמים,There is no hot water,お湯が出ません,אוֹיוּ גָּה דֶּמָסֶן,Oyu ga demasen,בעיה בחדר
לינה,אפשר מגבת נוספת?,Could I get an extra towel?,タオルをもう一枚いただけますか,טָאוֹרוּ אוֹ מוֹ אִיצִ'ימַאי אִיטָאדָאקֶמָס קָה?,Taoru o mou ichimai itadakemasu ka,בקשה
לינה,איבדתי את המפתח,I lost my key,鍵をなくしました,קָאגִי אוֹ נָאקוּשִׁימָשִׁיטָה,Kagi o nakushimashita,סיוע
אוכל,שולחן לאדם אחד בבקשה,A table for one please,一人です,הִיטוֹרִי דֶּס,Hitori desu,מסעדה
אוכל,אפשר לראות תפריט באנגלית?,Can I see an English menu?,英語のメニューはありますか,אֵיגוֹ נוֹ מֶנְיוּ וַוא אָרִימָס קָה?,Eigo no menyuu wa arimasu ka,מסעדה
אוכל,זה חריף?,Is it spicy?,辛いですか,קָרַאי דֶּס קָה?,Karai desu ka,בירור מנה
אוכל,בלי בשר ובלי ציר בשר בבקשה,No meat and no meat broth please,肉と肉のスープ（だし）なしでお願いします,ניקו טו ניקו נו סופו (דאשי) נאשי דה אונגאי שימאס,Niku to niku no suupu (dashi) nashi de onegai shimasu,העדפה תזונתית
אוכל,בלי חזיר בבקשה,No pork please,豚肉なしでお願いします,בּוּטָנִיקוּ נָאשִׁי דֶּה אוֹנֶגַאי שִׁימָס,Butaniku nashi de onegai shimasu,העדפה תזונתית
אוכל,בלי פירות ים ובלי דאשי בבקשה,No seafood and no dashi please,魚介類と和風だしなしでお願いします,גיוקאירוי טו וואפו דאשי נאשי דה אונגאי שימאס,Gyokairui to wafuu dashi nashi de onegai shimasu,העדפה תזונתית
אוכל,אני אלרגי ל...,I am allergic to...,…にアレルギーがあります,... נִי אָרֶרוּגִּי גָּה אָרִימָס,... ni arerugii ga arimasu,אלרגיה רפואית
אוכל,האם יש בזה אלכוהול?,Does this contain alcohol?,アルコールが入っていますか,אָרוּקוֹרוּ גָּה הַאיטֶּאִימָס קָה?,Arukooru ga haitteimasu ka,בירור רכיבים
אוכל,האם יש בזה ג׳לטין?,Does this contain gelatin?,ゼラチンが入っていますか,זֶרָאצִ'ין גָּה הַאיטֶּאִימָס קָה?,Zerachin ga haitteimasu ka,בירור רכיבים
אוכל,מים בבקשה,Water please,お水をお願いします,אוֹמִיזוּ אוֹ אוֹנֶגַאי שִׁימָס,Omizu o onegai shimasu,מסעדה
אוכל,את החשבון בבקשה,The bill please,お会計をお願いします,אוֹקָאיקֵי אוֹ אוֹנֶגַאי שִׁימָס,Okaikei o onegai shimasu,תשלום
אוכל,אפשר לשלם בכרטיס?,Can I pay by credit card?,カードで払えますか,קָאדוֹ דֶּה הָרָאֶמָס קָה?,Kaado de haraemasu ka,תשלום
כשרות,"אני שומר על חוקי הכשרות. אני לא אוכל בשר, פירות ים או מוצרים לא כשרים.","I keep Kosher. I do not eat meat, seafood, or non-Kosher products.",私はコーシャを守っています。肉、魚介類、コーシャ以外のものは食べません。,"וואטאשי ווא קושה או ממוטה אימאס. ניקו, גיוקאירוי, קושה איגאי נו מונו ווא טאבמאסן.","Watashi wa kooshaa o mamotte imasu. Niku, gyokairui, kooshaa igai no mono wa tabemasen.",הסבר כללי
כשרות,אסור שהמזון יכיל בשר או פירות ים,The food must not contain meat or seafood,肉や魚介類を含まないでください,נִיקוּ יָא גְּיוֹקָאִירוּי אוֹ פוּקוּמֶנַאידֶה קוּדָסַאי,Niku ya gyokairui o fukumenaide kudasai,בדיקת מרכיבים בלבד
כשרות,אפשר לראות את רשימת המרכיבים?,Can I see the ingredient list?,原材料を見せていただけますか,גֶּנְזָאיריוֹ אוֹ מִיסֶטֶה אִיטָאדָאקֶמָס קָה?,Genzairyou o misete itadakemasu ka,מוצר ארוז
כשרות,אני צריך כלים חד-פעמיים,I need disposable utensils,使い捨ての食器をお願いします,צּוּקָאִיסוּטֶה נוֹ שׁוֹקִּי אוֹ אוֹנֶגַאי שִׁימָס,Tsukaisute no shokki o onegai shimasu,שמירת כשרות
שבת,בשבת איני משתמש בחשמל,I do not use electricity on Shabbat (Saturday),安息日には電気を使いません,אַנְסוֹקוּבִּי נִי וַוא דֶּנְקִי אוֹ צּוּקָאִימָסֶן,Ansokubi ni wa denki o tsukaimasen,הסבר לצוות לינה
שבת,אפשר מפתח מכני?,Is a mechanical key available?,普通の鍵はありますか,פוּצּוּ נוֹ קָאגִי וַוא אָרִימָס קָה?,Futsuu no kagi wa arimasu ka,מלון בשבת
שבת,אפשר לבטל חיישן אוטומטי?,Can the automatic sensor be disabled?,自動センサーを止められますか,גִ'ידוֹ סֶנְסָא אוֹ טוֹמֶרָארֶמָס קָה?,Jidou sensaa o tomeraremasu ka,מלון בשבת
שבת,אחזור במוצאי שבת,I will return on Saturday night,土曜日の夜に戻ります,דּוֹיוֹבִּי נוֹ יוֹרוּ נִי מוֹדּוֹרִימָס,Doyoubi no yoru ni modorimasu,הודעה לצוות
קניות,כמה זה עולה?,How much does it cost?,これはいくらですか,קוֹרֶה וַוא אִיקוּרָה דֶּס קָה?,Kore wa ikura desu ka,חנות
קניות,אפשר לשלם בכרטיס?,Can I pay by credit card?,カードは使えますか,קָאדוֹ וַוא צּוּקָאֶמָס קָה?,Kaado wa tsukaemasu ka,חנות
קניות,אפשר Tax-Free?,Is Tax-Free available?,免税できますか,מֶנְזֵי דֶּקִימָס קָה?,Menzei dekimasu ka,קנייה עם דרכון
קניות,אפשר מידה אחרת?,Do you have another size?,別のサイズはありますか,בֶּטְסוּ נוֹ סַאיזוּ וַוא אָרִימָס קָה?,Betsu no saizu wa arimasu ka,ביגוד
קניות,אפשר לנסות?,Can I try this on?,試着できますか,שִׁיצָ'אקוּ דֶּקִימָס קָה?,Shichaku dekimasu ka,ביגוד
קניות,אפשר שקית?,Can I have a bag?,袋をください,פוּקוּרוֹ אוֹ קוּדָסַאי,Fukuro o kudasai,חנות
קניות,אני רק מסתכל,I'm just looking,見ているだけです,מִיטֶה אִירוּ דָּאקֶה דֶּס,Mite iru dake desu,מענה למוכר
אונסן,זו הפעם הראשונה שלי באונסן,This is my first time at an onsen,温泉は初めてです,אוֹנְסֶן וַוא הָאגִ'ימֶטֶה דֶּס,Onsen wa hajimete desu,בקשת הסבר
אונסן,מותר להיכנס עם קעקוע?,Are tattoos allowed?,タトゥーがあっても入れますか,טָאטוּ גָּה אַטֶּה מוֹ הַאִירֶמָס קָה?,Tatuu ga atte mo hairemasu ka,כללי המקום
אונסן,איפה המלתחות?,Where are the locker rooms?,更衣室はどこですか,קוֹאִישִׁיטְסוּ וַוא דּוֹקוֹ דֶּס קָה?,Kouishitsu wa doko desu ka,מתקנים
אונסן,אפשר לשכור מגבת?,Can I rent a towel?,タオルを借りられますか,טָאוֹרוּ אוֹ קָארִירָארֶמָס קָה?,Taoru o kariraremasu ka,ציוד
בריאות,אני צריך רופא,I need a doctor,医者が必要です,אִישָׁה גָּה הִיצּוּיוֹ דֶּס,Isha ga hitsuyou desu,מצב רפואי
בריאות,איפה בית המרקחת הקרוב?,Where is the nearest pharmacy?,近くの薬局はどこですか,צִ'יקָאקוּ נוֹ יָאקְיוֹקוּ וַוא דּוֹקוֹ דֶּס קָה?,Chikaku no yakkyoku wa doko desu ka,תרופות
בריאות,אני מרגיש לא טוב,I don't feel well,気分が悪いです,קִיבּוּן גָּה וָוארוּי דֶּס,Kibun ga warui desu,סיוע
בריאות,יש לי כאב כאן,It hurts here,ここが痛いです,קוֹקוֹ גָּה אִיטַאי דֶּס,Koko ga itai desu,הצבע על המקום
בריאות,יש לי חום,I have a fever,熱があります,נֶצּוּ גָּה אָרִימָס,Netsu ga arimasu,תסמין
בריאות,אני אלרגי לתרופה הזו,I am allergic to this medicine,この薬にアレルギーがあります,קוֹנוֹ קוּסוּרִי נִי אָרֶרוּגִּי גָּה אָרִימָס,Kono kusuri ni arerugii ga arimasu,אזהרה רפואית
חירום,עזרה!,Help!,助けてください,טָאסוּקֶטֶה קוּדָסַאי!,Tasukete kudasai,חירום
חירום,תתקשרו למשטרה,Call the police,警察を呼んでください,קֵיסָאצּוּ אוֹ יוֹנְדֶּה קוּדָסַאי,Keisatsu o yonde kudasai,חירום 110
חירום,תזמינו אמבולנס,Call an ambulance,救急車を呼んでください,קְיוּקְיוּשָׁה אוֹ יוֹנְדֶּה קוּדָסַאי,Kyuukyuusha o yonde kudasai,חירום 119
חירום,איבדתי את הדרכון,I lost my passport,パスポートをなくしました,פָּאסוּפּוֹטוֹ אוֹ נָאקוּשִׁימָשִׁיטָה,Pasupooto o nakushimashita,משטרה/שגרירות
חירום,הארנק שלי נגנב,My wallet was stolen,財布を盗まれました,סַאיפוּ אוֹ נוּסוּמָארֶמָשִׁיטָה,Saifu o nusumaremashita,משטרה
חירום,אני לא יודע איפה אני,I am lost,道に迷いました,מִיצִ'י נִי מָאיּוֹימָשִׁיטָה,Michi ni mayoimashita,סיוע בניווט
חירום,אני צריך את שגרירות ישראל,I need the Israeli embassy,イスラエル大使館に連絡したいです,אִיסוּרָאֶרוּ טַאישִׁיקַאן נִי רֶנְרָאקוּ שִׁיטַאי דֶּס,Isuraeru taishikan ni renraku shitai desu,סיוע קונסולרי
הבנת תשובות,רגע בבקשה,Just a moment please,少々お待ちください,שׁוֹשׁוֹ אוֹמָאצִ'י קוּדָסַאי,Shoushou omachi kudasai,ייתכן שתשמע
הבנת תשובות,אין / לא קיים,None / Does not exist,ありません,אָרִימָסֶן,Arimasen,ייתכן שתשמע
הבנת תשובות,יש / קיים,Yes / Exists,あります,אָרִימָס,Arimasu,ייתכן שתשמע
הבנת תשובות,זה בסדר,It's okay / No problem,大丈夫です,דַּיְיג'וֹבּוּ דֶּס,Daijoubu desu,אישור או סירוב תלוי הקשר
הבנת תשובות,אי אפשר,Cannot be done,できません,דֶּקִימָסֶן,Dekimasen,סירוב
הבנת תשובות,אפשר,Can be done,できます,דֶּקִימָס,Dekimasu,אישור
הבנת תשובות,סגור,Closed,休みです,יָאסוּמִי דֶּס,Yasumi desu,מקום אינו פעיל
הבנת תשובות,מזומן בלבד,Cash only,現金のみです,גֶּנְקִין נוֹמִי דֶּס,Genkin nomi desu,תשלום
הבנת תשובות,הכרטיס לא מתקבל,Card is not accepted,カードは使えません,קָאדוֹ וַוא צּוּקָאֶמָסֶן,Kaado wa tsukaemasen,תשלום
הבנת תשובות,אזל,Sold out,売り切れです,אוּרִיקִירֶה דֶּס,Urikire desu,מלאי/כרטיסים
הבנת תשובות,המתן כאן,Please wait here,ここで待ってください,קוֹקוֹ דֶּה מָאטֶּה קוּדָסַאי,Koko de matte kudasai,הנחיה
הבנת תשובות,עקוב אחריי,Please follow me,ついてきてください,צּוּאִיטֶה קִיטֶה קוּדָסַאי,Tsuite kite kudasai,הנחיה
מספרים,אחד,One,一,אִיצִ'י,Ichi,מספר
מספרים,שניים,Two,二,נִי,Ni,מספר
מספרים,שלושה,Three,三,סָאן,San,מספר
מספרים,מאה,One hundred,百,הְיָאקוּ,Hyaku,מחיר
מספרים,אלף,One thousand,千,סֶן,Sen,מחיר
הופעה של LiSA,איפה קונים מרצ'נדייז?,Where can I buy merchandise?,グッズ売り場はどこですか,גּוּדְזוּ אוּרִיבָּה וַוא דּוֹקוֹ דֶּס קָה?,Guzzu uriba wa doko desu ka,למופע של LISA
הופעה של LiSA,אני מת על ליסה!,I love LiSA!,LiSAが大好きです,לִיסָה גָּה דַּיְיסוּקִי דֶּס!,LiSA ga daisuki desu,למופע של LISA
הופעה של LiSA,הופעה מדהימה!,Amazing concert!,最高のライブでした,סַיְיקוֹ נוֹ רַיְיבּוּ דֶּשִׁיטָה!,Saikou no raibu deshita,למופע של LISA
הופעה של LiSA,הדרן! הדרן!,Encore! Encore!,アンコール,אַנְקוֹרוּ,Ankooru,הדרן למופע
הופעה של LiSA,איפה שער הכניסה?,Where is the entrance gate?,入場口はどこですか,נְיוּג'וֹגוּצִ'י וַוא דּוֹקוֹ דֶּס קָה?,Nyuujouguchi wa doko desu ka,למופע של LISA
הופעה של LiSA,יש לי כרטיס,I have a ticket,チケットを持っています,צִ'יקֶטּוֹ אוֹ מוֹטֶּה אִימָס,Chiketto o motte imasu,למופע של LISA
אנימה ואוטאקו,אני אוהב אנימה,I love anime,アニメが好きです,אָנִימֶה גָּה סוּקִי דֶּס,Anime ga suki desu,שיחת חולין
אנימה ואוטאקו,איפה חנות המנגה?,Where is the manga shop?,マンガ屋はどこですか,מַנְגָּה-יָה וַוא דּוֹקוֹ דֶּס קָה?,Manga-ya wa doko desu ka,קניות
אנימה ואוטאקו,מייד קפה,Maid cafe,メイドカフェ,מֵיְידוֹ קָפֶה,Meido kafe,אטרקציות אוטאקו
אנימה ואוטאקו,מכונת גאצ'ה,Gacha machine,ガチャガチャ,גָּאצָ'ה גָּאצָ'ה,Gacha gacha,משחקים
אנימה ואוטאקו,יש מוצרים של מתקפת הטיטאנים?,Do you have Attack on Titan merchandise?,進撃の巨人のグッズはありますか,שִׁינְגֶּקִי נוֹ קְיוֹגִ'ין נוֹ גּוּדְזוּ וַוא אָרִימָס קָה?,Shingeki no Kyojin no guzzu wa arimasu ka,קניות
אנימה ואוטאקו,יש מוצרים של Sword Art Online?,Do you have Sword Art Online merchandise?,SAOのグッズはありますか,אֶס-אֵי-אוֹ נוֹ גּוּדְזוּ וַוא אָרִימָס קָה?,SAO no guzzu wa arimasu ka,קניות
אנימה ואוטאקו,יש מוצרים של High School DxD?,Do you have High School DxD merchandise?,ハイスクールDxDのグッズはありますか,הַאי סוּקוּרוּ דִי-אֶקְס-דִי נוֹ גּוּדְזוּ וַוא אָרִימָס קָה?,Hai sukuru DxD no guzzu wa arimasu ka,קניות
אנימה ואוטאקו,אקיהברה,Akihabara,秋葉原,אָקִיהָבָּרָה,Akihabara,אזור אוטאקו בטוקיו
אנימה ואוטאקו,דן דן טאון,Den Den Town,でんでんタウン,דֶּן דֶּן טָאוּן,Den Den Taun,אזור אוטאקו באוסקה
שבת וכשרות,האם יש כאן בית כנסת?,Is there a synagogue here?,シナゴーグはありますか,שִׁינָגוֹגוּ וַוא אָרִימָס קָה?,Shinagoogu wa arimasu ka,בשבת
שבת וכשרות,"איפה בית חב""ד?",Where is the Chabad House?,ハバドハウスはどこですか,חַבָּד האוּסוּ וַוא דּוֹקוֹ דֶּס קָה?,Habado hausu wa doko desu ka,יהדות ביפן
שבת וכשרות,שבת שלום,Shabbat Shalom,シャバット・シャローム,שָׁבָּאטוֹ שָׁרוֹמוּ,Shabatto sharoomu,ברכת שבת
שבת וכשרות,אני שומר שבת,I observe Shabbat,シャバットを守っています,שָׁבָּאטוֹ אוֹ מָמוֹטֶּה אִימָס,Shabatto o mamotte imasu,הסבר למלון/מקומיים
שבת וכשרות,זה כשר?,Is this Kosher?,これはコーシャですか,קוֹרֶה וַוא קוֹשָׁר דֶּס קָה?,Kore wa kooshaa desu ka,אוכל
שבת וכשרות,אני לא אוכל בשר או חלב ביחד,I do not eat meat and dairy together,肉と乳製品は一緒に食べません,נִיקוּ טוֹ נְיוּסֵייהִין וַוא אִישּׁוֹ נִי טָאבֶּמָסֶן,Niku to nyuuseihin wa issho ni tabemasen,אוכל
כיוונים,איפה תחנת אומורי?,Where is Omori station?,大森駅はどこですか,אוֹמוֹרִי אֶקִי וַוא דּוֹקוֹ דֶּס קָה?,Omori eki wa doko desu ka,בירור מיקום ספציפי (התחנה שלך)
שבת וכשרות,איפה המדרגות?,Where are the stairs?,階段はどこですか,קַאידַאן וַוא דּוֹקוֹ דֶּס קָה?,Kaidan wa doko desu ka,הימנעות ממעלית בשבת
שבת וכשרות,נא לא לנקות את החדר שלי מחר,Please do not clean my room tomorrow,明日は部屋の掃除をしないでください,אָשִׁיטָה וַוא הֶיָה נוֹ סוֹגִ'י אוֹ שִׁינַאידֶה קוּדָסַאי,Ashita wa heya no souji o shinaide kudasai,שבת במלון
שבת וכשרות,האם זה מכיל שומן מן החי?,Does this contain animal fat?,動物性油脂は入っていますか,דוֹבּוּטְסוּסֵיי יוּשִׁי וַוא הַאיטֶּאִימָס קָה?,Doubutsusei yushi wa haitteimasu ka,בדיקת כשרות מחמירה
תחבורה,איפה המעלית?,Where is the elevator?,エレベーターはどこですか,אֶרֶבֶּאטָא וַוא דּוֹקוֹ דֶּס קָה?,Erebeetaa wa doko desu ka,כשיש מזוודות גדולות
תחבורה,האם אני יכול להשתמש בפאס יפן (JR Pass) כאן?,Can I use the Japan Rail Pass here?,ジャパンレールパスは使えますか,גָ'אפָּאן רֵירוּ פָּאסוּ וַוא צּוּקָאֶמָס קָה?,Japan reeru pasu wa tsukaemasu ka,בכניסה לתחנה
תחבורה,מקום שמור בבקשה,Reserved seat please,指定席をお願いします,שִׁיטֵייסֶקִי אוֹ אוֹנֶגַאי שִׁימָס,Shiteiseki o onegai shimasu,רכבת שינקנסן
הופעה של LiSA,איפה המושב שלי?,Where is my seat?,私の席はどこですか,וָואטָאשִׁי נוֹ סֶקִי וַוא דּוֹקוֹ דֶּס קָה?,Watashi no seki wa doko desu ka,בתוך האולם
הופעה של LiSA,האם מותר לצלם?,Is photography allowed?,写真を撮ってもいいですか,שָׁאשִׁין אוֹ טוֹטֶּה מוֹ אִיאי דֶּס קָה?,Shashin o totte mo ii desu ka,במופע (לרוב אסור ביפן!)
אונסן,האם זה לגברים או לנשים?,Is this for men or women?,これは男湯ですか、女湯ですか,קוֹרֶה וַוא אוֹטוֹקוֹ-יוּ דֶּס קָה אוֹנָה-יוּ דֶּס קָה?,Kore wa otokoyu desu ka onnayu desu ka,לפני כניסה לאונסן (קריטי!)
חירום,איפה אזור הפינוי?,Where is the evacuation area?,避難場所はどこですか,הִינָאן בָּאשׁוֹ וַוא דּוֹקוֹ דֶּס קָה?,Hinan basho wa doko desu ka,ברעידת אדמה
קניות,יש לכם מטריה?,Do you have an umbrella?,傘はありますか,קָאסָה וַוא אָרִימָס קָה?,Kasa wa arimasu ka,גשם פתאומי בחנות נוחות
אוכל,זה מכיל דג?,Does it contain fish?,魚が入っていますか,סאקאנה גא האיטה אימאסו קה?,Sakana ga haitte imasu ka,בירור רכיבים
שירותים,יש Wi-Fi?,Is there Wi-Fi?,Wi-Fiはありますか,וואי-פיי ווא ארימאסו קה?,Wi-Fi wa arimasu ka,מסעדה/חנות
שירותים,אפשר למלא מים?,Can I fill water?,水を入れてもいいですか,מיזו או אירטה מו אי דס קה?,Mizu o irete mo ii desu ka,מסעדה/בית קפה
חנויות נוחות,אפשר לחמם את זה?,Can you heat this up?,温めてもらえますか,אטאטאמטה מוראמאסו קה?,Atatamete moraemasu ka,קונביני
שירותים,יש שקע לחשמל?,Is there a power outlet?,コンセントはありますか,קונסנטו ווא ארימאסו קה?,Konsento wa arimasu ka,בית קפה/רכבת
שירותים,איפה הלוקר?,Where is the coin locker?,コインロッカーはどこですか,קוין רוקאה ווא דוקו דס קה?,Koin rokkaa wa doko desu ka,תחנת רכבת
קניות,אני מחפש מטען USB-C,I am looking for a USB-C charger,USB-C充電器はありますか,יו-אס-בי-שי ג'ודנקי ווא ארימאסו קה?,USB-C juudenki wa arimasu ka,חנות אלקטרוניקה/קונביני
קניות,יש לכם Power Bank?,Do you have a power bank?,モバイルバッテリーはありますか,מובאירו באטרי ווא ארימאסו קה?,Mobairu batterī wa arimasu ka,חנות אלקטרוניקה
קניות,אפשר לשמור לי את הקנייה?,Can you put this on hold?,取り置きできますか,טוריאוקי דקימאסו קה?,Torioki dekimasu ka,חנויות
